country,city,"insurance, руб.","ticket_price, руб.",luggage_cost,flight_time_minutes,rest_rating,rest_price,hotel_rating,lowest_hotel_price,highest_hotel_price,lat,lon
Грузия,Тбилиси,12648,25015.6,6271.666666666668,1473.5,4.3497453310696095,6610.841954022989,4.36,7795.79,12554.74,41.69,44.83
Египет ,Хургада,9485,37285.1,4510.9,1684.5,4.492857142857143,4711.994047619048,4.32,14696.97,29367.47,27.2574, 33.8129
Египет ,Каир,8131,30078.0,5136.7,1535.0,4.052583025830258,2537.4037267080744,4.0,12299.5,21350.12,30.06,31.25
Испания,Мадрид,38667,37527.2,18391.4,1937.5,4.470588235294118,2442.05875,3.99,4326.56,5167.61,40.42,-3.7
Испания,Барселона,38667,40906.9,19686.666666666668,1677.0,4.521996615905246,2386.5180180180178,4.13,10490.84,21193.59,41.3888, 2.15899
Италия,Рим,51223,31765.8,14991.2,1933.5,4.498376623376624,2786.4866504854367,4.24,4548.14,6694.23,41.89,12.51
Италия,Венеция,51223,42659.4,9947.833333333334,1478.0,4.198653198653199,4138.038321167884,4.22,6242.99,8792.32,45.4371, 12.3327
Казахстан,Астана,1662,22170.8,6435.1,911.5,4.039024390243903,1626.7737226277372,4.02,10574.06,14654.4,51.18,71.45
Казахстан,Алма-Ата,1113,24137.2,6184.4,969.5,4.141538461538461,2915.411111111111,3.87,5033.28,7493.97,43.2567, 76.9286
Канада,Ванкувер,29451,130570.5,6918.222222222223,3353.0,4.222972972972973,2035.8346774193549,4.12,8653.64,12127.56,49.2497, -123.119
Канада,Оттава,29588,181985.7,23170.6,3301.4,4.093062605752961,1558.216836734694,4.1,12714.24,19163.85,45.41,-75.7
Кипр ,Кирения,4737,32074.7,6955.6,1379.0,4.213450292397661,929.5932203389832,4.08,13685.62,26129.69,35.3417, 33.3167
Кипр ,Никосия,4892,30606.3,13658.888888888889,2265.5,4.124125874125874,1597.243478260869,4.23,17491.97,28786.59,35.18,33.36
Норвегия,Гейрангер,36895,55364.6,10183.5,1725.5,4.166666666666667,1773.0,4.21,15534.49,21255.18,62.094444, 7.080556
Норвегия,Осло,37220,41099.3,9893.6,1494.5,4.048821548821548,3622.5505415162456,3.96,10527.56,19014.39,59.91,10.75
ОАЭ,Абу-Даби,34420,21858.5,6068.1,1494.0,4.390572390572391,4441.139484978541,4.31,8736.22,12279.97,24.47,54.37
ОАЭ,Дубай,43093,26679.4,6254.5,1372.5,4.720512820512821,16583.511475409836,4.2,7555.75,10652.25,25.0657, 55.1713
США,Нью-Йорк,33896,72822.2,4568.9,2536.5,4.32952691680261,2849.6649616368286,4.16,9260.78,14635.16,40.7143, -74.006
США,Лос-Анджелес,33291,83320.4,4606.2,2773.0,4.278991596638655,2501.59022556391,3.71,10366.76,16606.42,34.0522, -118.244
Тайланд ,Пхукет,20598,48611.0,12702.0,1598.0,4.510067114093959,5568.127142857143,4.23,7762.37,10141.44,7.89059, 98.3981
Тайланд ,Бангкок,21376,40094.8,8748.0,1882.5,4.445422535211268,3603.2249240121578,4.19,23313.59,42266.53,13.75,100.5
Турция ,Аланья,6324,23262.0,4770.0,1652.5,4.387267904509284,2988.7162162162163,4.09,11717.02,17208.32,36.5438, 31.9998
Турция ,Сиде,6866,25382.7,5004.0,1190.0,4.470414201183432,2044.7132352941176,4.17,11244.08,15022.53,36.7658, 31.3842
