hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Hotel Nikko Nara,Нара,https://www.tripadvisor.ru/Hotel_Review-g298198-d574405-Reviews-Hotel_Nikko_Nara-Nara_Nara_Prefecture_Kinki.html,13 077 руб,"4,0","4,0",7 022 руб - 10 669 руб,7 022 руб,10 669 руб
Mikasa,Нара,https://www.tripadvisor.ru/Hotel_Review-g298198-d1086966-Reviews-Mikasa-Nara_Nara_Prefecture_Kinki.html,Как добраться,"4,5","3,0",18 603 руб - 27 631 руб,18 603 руб,27 631 руб
Onyado Nono Nara,Нара,https://www.tripadvisor.ru/Hotel_Review-g298198-d12717152-Reviews-Onyado_Nono_Nara-Nara_Nara_Prefecture_Kinki.html,Как добраться,,"3,0",6 383 руб - 13 587 руб,6 383 руб,13 587 руб
Nara Hotel,Нара,https://www.tripadvisor.ru/Hotel_Review-g298198-d307626-Reviews-Nara_Hotel-Nara_Nara_Prefecture_Kinki.html,Как добраться,"4,0","4,0",13 040 руб - 22 159 руб,13 040 руб,22 159 руб
"Holiday Inn Yerevan - Republic Square, an IHG Hotel",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d19625125-Reviews-Holiday_Inn_Yerevan_Republic_Square_an_IHG_Hotel-Yerevan.html,8 329 руб,,,8 298 руб - 10 943 руб,8 298 руб,10 943 руб
"Отель ""Париж""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d7004445-Reviews-Paris_Hotel-Yerevan.html,33 953 руб,"4,5","4,0",7 295 руб - 12 493 руб,7 295 руб,12 493 руб
Republica Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6731098-Reviews-Republica_Hotel_Yerevan-Yerevan.html,8 412 руб,"4,5","4,0",7 113 руб - 9 575 руб,7 113 руб,9 575 руб
ibis Yerevan Center Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d11665411-Reviews-Ibis_Yerevan_Center_Hotel-Yerevan.html,6 768 руб,"4,5","3,0",6 019 руб - 7 204 руб,6 019 руб,7 204 руб
Май Отель Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6702577-Reviews-My_Hotel_Yerevan-Yerevan.html,2 562 руб,,"3,0",3 009 руб - 7 113 руб,3 009 руб,7 113 руб
DoubleTree by Hilton Hotel Yerevan City Centre,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8029079-Reviews-DoubleTree_by_Hilton_Hotel_Yerevan_City_Centre-Yerevan.html,10 172 руб,,"4,0",9 210 руб - 11 216 руб,9 210 руб,11 216 руб
Отель Армения Марриотт Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d299732-Reviews-Armenia_Marriott_Hotel_Yerevan-Yerevan.html,14 643 руб,"4,0","4,0",12 220 руб - 15 411 руб,12 220 руб,15 411 руб
Grand Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d585269-Reviews-Grand_Hotel_Yerevan-Yerevan.html,12 738 руб,"4,5","5,0",10 669 руб - 15 502 руб,10 669 руб,15 502 руб
Opera Suite Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8280822-Reviews-Opera_Suite_Hotel-Yerevan.html,7 646 руб,"4,5","4,0",6 201 руб - 7 751 руб,6 201 руб,7 751 руб
Гостиница Туфенкян исторический Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d3634113-Reviews-Tufenkian_Historic_Yerevan_Hotel-Yerevan.html,8 887 руб,,"4,0",7 842 руб - 10 852 руб,7 842 руб,10 852 руб
Central Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d12591914-Reviews-Central_Hotel_Yerevan-Yerevan.html,11 444 руб,"4,5","4,0",8 207 руб - 11 125 руб,8 207 руб,11 125 руб
Nova Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d10100256-Reviews-Nova_Hotel-Yerevan.html,8 337 руб,"4,5","4,0",5 927 руб - 8 572 руб,5 927 руб,8 572 руб
Холидей Инн Экспресс Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d15098482-Reviews-Holiday_Inn_Express_Yerevan_an_IHG_Hotel-Yerevan.html,7 490 руб,,"3,0",6 657 руб - 8 390 руб,6 657 руб,8 390 руб
Отель Yerevan Place,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d5281493-Reviews-Yerevan_Place_Hotel-Yerevan.html,11 394 руб,"4,5","4,0",7 204 руб - 10 122 руб,7 204 руб,10 122 руб
"Гостиница Рэдиссон Блю, Ереван",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d10518419-Reviews-Radisson_Blu_Hotel_Yerevan-Yerevan.html,10 482 руб,"4,5","5,0",8 754 руб - 10 852 руб,8 754 руб,10 852 руб
Гостиница Конгресс-отель,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308336-Reviews-Best_Western_Plus_Congress_Hotel-Yerevan.html,8 095 руб,"4,0","3,5",7 022 руб - 8 846 руб,7 022 руб,8 846 руб
Ramada Hotel & Suites By Wyndham Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d16897972-Reviews-Ramada_Hotel_Suites_By_Wyndham_Yerevan-Yerevan.html,9 434 руб,"4,0","4,0",8 116 руб - 10 761 руб,8 116 руб,10 761 руб
Erebuni Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d1216356-Reviews-Erebuni_Hotel-Yerevan.html,Как добраться,"4,5","3,0",5 654 руб - 6 110 руб,5 654 руб,6 110 руб
Делюкс Отель Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d1479879-Reviews-Deluxe_Hotel_Yerevan-Yerevan.html,3 646 руб,"4,5","3,0",2 462 руб - 3 830 руб,2 462 руб,3 830 руб
Кантар,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6984429-Reviews-Kantar-Yerevan.html,8 431 руб,,"2,0",2 097 руб - 6 748 руб,2 097 руб,6 748 руб
Ani Grand Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17733752-Reviews-Ani_Grand_Hotel_Yerevan-Yerevan.html,9 798 руб,"4,0","4,0",7 204 руб - 9 575 руб,7 204 руб,9 575 руб
Andor Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d20264091-Reviews-Andor_Hotel-Yerevan.html,3 931 руб,"4,5",,1 915 руб - 4 104 руб,1 915 руб,4 104 руб
Гостиница Арег,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d1137158-Reviews-Areg_Hotel-Yerevan.html,4 557 руб,,"3,0",3 648 руб - 5 471 руб,3 648 руб,5 471 руб
"Гостиница ""Басс""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308335-Reviews-Bass_Boutique_Hotel-Yerevan.html,6 152 руб,"4,0","4,0",3 830 руб - 6 019 руб,3 830 руб,6 019 руб
Гостиница Метрополь (Best Eastern),Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308339-Reviews-Best_Eastern_Hotel_Metropol-Yerevan.html,6 380 руб,"3,5","4,0",4 468 руб - 5 471 руб,4 468 руб,5 471 руб
"Аквапарк, спа-гостиница и центр развлечения ""Акватек""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d2288712-Reviews-Aquatek_Resort_and_SPA-Yerevan.html,Как добраться,,"3,0",4 833 руб - 7 751 руб,4 833 руб,7 751 руб
Imperial Palace Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d4886384-Reviews-Imperial_Palace_Hotel-Yerevan.html,5 400 руб,"4,0","4,0",4 104 руб - 7 204 руб,4 104 руб,7 204 руб
Отель Cascade,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6213513-Reviews-Cascade_Hotel-Yerevan.html,Как добраться,"4,5","3,0",4 560 руб - 6 383 руб,4 560 руб,6 383 руб
Отель 14th Floor,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d2038096-Reviews-14th_Floor_Hotel-Yerevan.html,9 411 руб,"4,5","3,0",6 383 руб - 9 940 руб,6 383 руб,9 940 руб
Гостиница Наири,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d622382-Reviews-Bomo_Nairi_Hotel-Yerevan.html,5 276 руб,"3,5","3,0",1 733 руб - 4 012 руб,1 733 руб,4 012 руб
Хостел JR's House,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d4267841-Reviews-JR_s_House-Yerevan.html,2 370 руб,"4,5","2,0",1 277 руб - 3 465 руб,1 277 руб,3 465 руб
Отель Норт Авеню,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d4619506-Reviews-North_Avenue_by_Stellar_Hotels-Yerevan.html,8 864 руб,"4,5","4,0",6 201 руб - 12 858 руб,6 201 руб,12 858 руб
Messier 53 Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d12311601-Reviews-Messier_53_Hotel_Yerevan-Yerevan.html,10 427 руб,"4,5","4,0",7 842 руб - 11 946 руб,7 842 руб,11 946 руб
"The Alexander, a Luxury Collection Hotel, Yerevan",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d13950040-Reviews-The_Alexander_a_Luxury_Collection_Hotel_Yerevan-Yerevan.html,34 864 руб,"4,5","5,0",28 543 руб - 40 398 руб,28 543 руб,40 398 руб
Олимпия Гарден Отель,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308340-Reviews-Olympia_Garden_Hotel-Yerevan.html,4 831 руб,"4,5","3,0",4 012 руб - 4 833 руб,4 012 руб,4 833 руб
гостиничный Рим,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d5218005-Reviews-Hotel_Roma-Yerevan.html,Как добраться,"5,0","4,0",4 286 руб - 5 471 руб,4 286 руб,5 471 руб
ОРБЕЛИ Отель,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d24086619-Reviews-Orbeli_Hotel_Yerevan-Yerevan.html,6 358 руб,"4,5",,5 016 руб - 6 475 руб,5 016 руб,6 475 руб
MGA Hostel & Tours,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8005673-Reviews-MGA_Hostel_Tours-Yerevan.html,2 051 руб,"4,5","2,0",1 368 руб - 4 104 руб,1 368 руб,4 104 руб
Грейс Форум,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6206559-Reviews-Grace_Forum-Yerevan.html,6 450 руб,"4,5","4,0",4 560 руб - 8 663 руб,4 560 руб,8 663 руб
Alex Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d14802782-Reviews-Alex_Hotel-Yerevan.html,Как добраться,"4,0",,1 915 руб - 5 016 руб,1 915 руб,5 016 руб
Отель Ани Плаза,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308331-Reviews-Ani_Plaza_Hotel-Yerevan.html,8 762 руб,"4,0","4,0",6 383 руб - 9 119 руб,6 383 руб,9 119 руб
Хостел Envoy Hostel и программа Envoy Tours,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d595944-Reviews-Envoy_Hostel_and_Tours-Yerevan.html,3 646 руб,"4,5",,1 733 руб - 3 648 руб,1 733 руб,3 648 руб
Отель SD,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d3545290-Reviews-SD_Hotel-Yerevan.html,4 557 руб,,"3,0",2 736 руб - 4 560 руб,2 736 руб,4 560 руб
Отель Кросс Резорт,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6279855-Reviews-Cross_Resort_Hotel-Yerevan.html,5 845 руб,"4,5","3,0",5 107 руб - 6 839 руб,5 107 руб,6 839 руб
Даниел Бутик отель,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d12385925-Reviews-Daniel_Boutique_Hotel-Yerevan.html,4 799 руб,"5,0",,4 742 руб - 6 110 руб,4 742 руб,6 110 руб
"Гостиница ""Латар""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d4176271-Reviews-Latar_Hotel_Yerevan-Yerevan.html,5 013 руб,"4,0","5,0",3 648 руб - 5 016 руб,3 648 руб,5 016 руб
"Гостиница ""Авиатранс""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308337-Reviews-Aviatrans-Yerevan.html,8 568 руб,"4,0","3,0",6 566 руб - 9 301 руб,6 566 руб,9 301 руб
Median Hotel | City Center Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17789445-Reviews-Median_Hotel_City_Center_Yerevan-Yerevan.html,9 115 руб,"4,0","4,0",5 745 руб - 9 393 руб,5 745 руб,9 393 руб
Silk Road Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8112204-Reviews-Silk_Road_Hotel-Yerevan.html,7 975 руб,,"3,0",6 292 руб - 8 572 руб,6 292 руб,8 572 руб
City Hotel by Picnic,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8400769-Reviews-City_Hotel_by_Picnic-Yerevan.html,4 443 руб,"4,5",,3 648 руб - 6 566 руб,3 648 руб,6 566 руб
Welcome  Inn  Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d23768763-Reviews-Welcome_Inn_Hotel-Yerevan.html,3 486 руб,,,3 465 руб - 4 286 руб,3 465 руб,4 286 руб
Отель Hin Yerevantsi,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d3410830-Reviews-Hin_Yerevantsi_Hotel-Yerevan.html,Как добраться,,"3,0",6 292 руб - 9 028 руб,6 292 руб,9 028 руб
Отель Пример,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d2214444-Reviews-Primer_Hotel-Yerevan.html,Как добраться,"4,0","3,0",2 736 руб - 4 195 руб,2 736 руб,4 195 руб
Арм Хостел,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d10052301-Reviews-Arm_Hostel-Yerevan.html,2 360 руб,"4,0",,2 189 руб - 2 553 руб,2 189 руб,2 553 руб
Ojakh Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d19913185-Reviews-Ojakh_Hotel-Yerevan.html,Как добраться,"5,0",,2 553 руб - 2 918 руб,2 553 руб,2 918 руб
Гран Форчун Отель,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d23372887-Reviews-Grand_Fortune_Hotel-Yerevan.html,Как добраться,"4,0",,2 827 руб - 4 012 руб,2 827 руб,4 012 руб
Anga Yerevan Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d24833069-Reviews-Anga_Yerevan_Hotel-Yerevan.html,9 776 руб,"4,0",,4 012 руб - 8 937 руб,4 012 руб,8 937 руб
Orion Aparthotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d26398550-Reviews-Orion_Aparthotel-Yerevan.html,6 266 руб,,"4,0",5 289 руб - 10 852 руб,5 289 руб,10 852 руб
RIS Dalma Collection Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d14189004-Reviews-RIS_Dalma_Collection_Yerevan-Yerevan.html,7 064 руб,"5,0","3,0",5 107 руб - 7 934 руб,5 107 руб,7 934 руб
Red Castle Guest House,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17436480-Reviews-Red_Castle_Guest_House-Yerevan.html,2 092 руб,"3,0",,1 368 руб - 2 006 руб,1 368 руб,2 006 руб
Boulevard Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d12486956-Reviews-Boulevard_Hotel-Yerevan.html,7 998 руб,"4,5","3,0",6 748 руб - 8 846 руб,6 748 руб,8 846 руб
Mia Casa Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d11643507-Reviews-Mia_Casa_Hotel_Yerevan-Yerevan.html,5 697 руб,"4,5","3,0",3 648 руб - 5 471 руб,3 648 руб,5 471 руб
Apricot Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d15816804-Reviews-Apricot_Hotel_Yerevan-Yerevan.html,9 133 руб,"4,5","3,0",7 478 руб - 9 757 руб,7 478 руб,9 757 руб
Комитас Авеню Хостел,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d12494833-Reviews-Komitas_Guest_House-Yerevan.html,Как добраться,"5,0",,1 550 руб - 3 192 руб,1 550 руб,3 192 руб
"Отель ""Националь""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d3873711-Reviews-Hotel_National-Yerevan.html,12 533 руб,"4,0","5,0",9 210 руб - 14 682 руб,9 210 руб,14 682 руб
Yerevan Boutique Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d13536742-Reviews-Yerevan_Boutique_Hotel-Yerevan.html,Как добраться,,"3,0",4 104 руб - 6 566 руб,4 104 руб,6 566 руб
Art Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8112220-Reviews-Art_Hotel-Yerevan.html,5 104 руб,"4,5",,2 553 руб - 5 471 руб,2 553 руб,5 471 руб
Royal Plaza от Stellar Hotels,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d5085060-Reviews-Royal_Plaza_By_Stellar_Hotels-Yerevan.html,4 307 руб,"3,5","4,0",3 009 руб - 5 107 руб,3 009 руб,5 107 руб
President Hotel by Hrazdan Hotel CJSC,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308338-Reviews-President_Hotel_by_Hrazdan_Hotel_CJSC-Yerevan.html,7 292 руб,"3,5","3,0",5 563 руб - 7 569 руб,5 563 руб,7 569 руб
Dave Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d23804505-Reviews-Dave_Hotel_Yerevan-Yerevan.html,8 367 руб,"5,0","4,0",7 386 руб - 9 484 руб,7 386 руб,9 484 руб
City Centre Hotel by Picnic,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d7786379-Reviews-City_Centre_Hotel_by_Picnic-Yerevan.html,4 557 руб,"4,5","3,0",3 283 руб - 4 924 руб,3 283 руб,4 924 руб
Sweet Sleep hostel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17473685-Reviews-Sweet_Sleep_Hostel-Yerevan.html,2 051 руб,"5,0",,2 006 руб - 2 006 руб,2 006 руб,2 006 руб
Гостиница Агабабянс,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d15855853-Reviews-Aghababyan_s_Hotel-Yerevan.html,7 531 руб,,"4,5",5 836 руб - 9 393 руб,5 836 руб,9 393 руб
"Seven Visions Resort & Places, The Dvin",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d25265939-Reviews-Seven_Visions_Resort_Places_The_Dvin-Yerevan.html,34 181 руб,"4,5","5,0",26 445 руб - 37 024 руб,26 445 руб,37 024 руб
Май Апартментс Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d12288288-Reviews-My_Apartments_Yerevan-Yerevan.html,5 469 руб,,"3,0",3 374 руб - 7 295 руб,3 374 руб,7 295 руб
Патриотт,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17451400-Reviews-Patriott_hotel-Yerevan.html,4 535 руб,"5,0",,3 465 руб - 4 468 руб,3 465 руб,4 468 руб
Отель Ширак,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308341-Reviews-Shirak_Hotel-Yerevan.html,5 283 руб,"3,0","3,0",3 830 руб - 7 113 руб,3 830 руб,7 113 руб
Sphera by Stellar Hotels,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d24099288-Reviews-Sphera_by_Stellar_Hotels-Yerevan.html,4 357 руб,,"4,0",3 648 руб - 7 478 руб,3 648 руб,7 478 руб
Blur Inn Gallery,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d23176256-Reviews-Blur_Inn_Gallery-Yerevan.html,3 486 руб,"5,0",,3 100 руб - 5 471 руб,3 100 руб,5 471 руб
Отель Коньяк,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d19240013-Reviews-Konyak_Hotel-Yerevan.html,9 735 руб,"3,5","4,0",5 380 руб - 6 657 руб,5 380 руб,6 657 руб
Welcome Yerevan  Apartments,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d15631678-Reviews-Welcome_Yerevan_Apartments-Yerevan.html,Как добраться,"5,0",,4 468 руб - 8 116 руб,4 468 руб,8 116 руб
Bonjour Boutique Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d19694256-Reviews-Bonjour_Boutique_Hotel_Yerevan-Yerevan.html,5 230 руб,"5,0",,5 016 руб - 6 748 руб,5 016 руб,6 748 руб
Венеция Палаццо,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6908328-Reviews-Venezia_Palazzo-Yerevan.html,4 614 руб,"4,0",,3 648 руб - 5 471 руб,3 648 руб,5 471 руб
Popock City Center,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d21004432-Reviews-Popock_City_Center-Yerevan.html,Как добраться,,"3,0",1 550 руб - 2 006 руб,1 550 руб,2 006 руб
The Land of Ararat,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d23334810-Reviews-The_Land_of_Ararat-Yerevan.html,2 051 руб,,"4,0",1 915 руб - 3 374 руб,1 915 руб,3 374 руб
Elysium Gallery Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8498551-Reviews-Elysium_Gallery_Hotel-Yerevan.html,4 945 руб,"4,0","3,0",3 921 руб - 6 839 руб,3 921 руб,6 839 руб
Avenue Hostel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d19682467-Reviews-Avenue_Hostel_Yerevan-Yerevan.html,Как добраться,"3,5",,1 003 руб - 1 094 руб,1 003 руб,1 094 руб
"Отель ""Армениан Роял Палас""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d1200811-Reviews-Armenian_Royal_Palace_Hotel-Yerevan.html,3 555 руб,"3,5","4,0",3 648 руб - 5 745 руб,3 648 руб,5 745 руб
Норк Отель,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17332164-Reviews-Nork_Hotel-Yerevan.html,5 129 руб,"5,0",,5 107 руб - 6 931 руб,5 107 руб,6 931 руб
Armenian Inn Hostel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17409386-Reviews-Armenian_Inn_Hostel-Yerevan.html,3 158 руб,"5,0",,1 459 руб - 3 100 руб,1 459 руб,3 100 руб
L'image Art Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d14780154-Reviews-L_image_Art_Hotel-Yerevan.html,6 437 руб,"4,5","3,0",3 739 руб - 6 383 руб,3 739 руб,6 383 руб
Отель Villa 29,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6200911-Reviews-Villa_29-Yerevan.html,5 168 руб,"4,5",,4 651 руб - 5 654 руб,4 651 руб,5 654 руб
Mandarin Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d20265924-Reviews-Mandarin_Hotel-Yerevan.html,Как добраться,"4,5",,3 465 руб - 5 745 руб,3 465 руб,5 745 руб
Rooms Apart Hotel Yerevan By Red,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d25094947-Reviews-Rooms_Apart_Hotel_Yerevan_By_RED-Yerevan.html,7 399 руб,"4,5",,5 380 руб - 7 295 руб,5 380 руб,7 295 руб
Arève Résidence Boutique Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d12135475-Reviews-Areve_Residence_Boutique_Hotel-Yerevan.html,5 013 руб,"4,5","4,0",3 830 руб - 5 654 руб,3 830 руб,5 654 руб
Даймонд Хауз Отель,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6839245-Reviews-Diamond_House_Hotel-Yerevan.html,8 166 руб,"4,0","4,0",5 745 руб - 11 490 руб,5 745 руб,11 490 руб
Отель Капитал,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d2387920-Reviews-Capital_Hotel-Yerevan.html,2 666 руб,,"3,0",2 280 руб - 4 651 руб,2 280 руб,4 651 руб
Биен Отель,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d14029725-Reviews-Bien_Hotel-Yerevan.html,Как добраться,"4,5","3,0",4 104 руб - 6 201 руб,4 104 руб,6 201 руб
Гостиница Европа,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d1447581-Reviews-Europe_Hotel-Yerevan.html,6 585 руб,,"4,0",5 471 руб - 7 386 руб,5 471 руб,7 386 руб
Golden Palace Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d13457134-Reviews-Golden_Palace_Hotel_Yerevan-Yerevan.html,18 040 руб,"4,0","5,0",14 773 руб - 19 059 руб,14 773 руб,19 059 руб
Гостиница Рэжинэ,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d1237108-Reviews-Hotel_Regineh-Yerevan.html,5 469 руб,"4,0","3,0",4 104 руб - 6 019 руб,4 104 руб,6 019 руб
Отель Тигран Мец,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8783668-Reviews-Hotel_Tigran_Mets-Yerevan.html,Как добраться,"4,0","3,0",4 012 руб - 7 113 руб,4 012 руб,7 113 руб
Курортный отель Panorama,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d5975411-Reviews-Panorama_Yerevan_Resort-Yerevan.html,7 292 руб,"4,5","5,0",6 019 руб - 7 204 руб,6 019 руб,7 204 руб
Ani Central Inn,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17765623-Reviews-Ani_Central_Inn-Yerevan.html,7 633 руб,"4,0","4,0",5 563 руб - 7 660 руб,5 563 руб,7 660 руб
Отель Фелингер Коллекшен,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d26626920-Reviews-Felinger_Collection_Hotel_Yerevan-Yerevan.html,8 306 руб,"5,0",,6 748 руб - 9 301 руб,6 748 руб,9 301 руб
Бридж Хостел Ереван Армения,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d10102032-Reviews-Bridge_House_Armenia_Yerevan-Yerevan.html,3 418 руб,"5,0",,3 374 руб - 3 374 руб,3 374 руб,3 374 руб
Гостевой дом Азоян,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6648449-Reviews-Azoyan_Guest_House-Yerevan.html,7 178 руб,"5,0",,5 836 руб - 7 934 руб,5 836 руб,7 934 руб
Altunyan Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d26101861-Reviews-Altunyan_Hotel-Yerevan.html,5 455 руб,"3,0",,3 374 руб - 5 563 руб,3 374 руб,5 563 руб
Downtown Suites Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d23507385-Reviews-Downtown_Suites_Yerevan-Yerevan.html,7 383 руб,,,7 295 руб - 9 119 руб,7 295 руб,9 119 руб
4Guest Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d13485222-Reviews-4Guest_Hotel-Yerevan.html,5 013 руб,"4,5",,3 739 руб - 5 016 руб,3 739 руб,5 016 руб
Bourbon Boutique Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d23978497-Reviews-Bourbon_Boutique_Hotel-Yerevan.html,7 071 руб,"3,5",,5 107 руб - 8 663 руб,5 107 руб,8 663 руб
A Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17690285-Reviews-A_Hotel_Yerevan-Yerevan.html,6 101 руб,"5,0",,3 739 руб - 7 660 руб,3 739 руб,7 660 руб
