hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Нантра Экамаи Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d3472629-Reviews-Nantra_Ekamai_Hotel-Bangkok.html,Как добраться,"3,0","2,0",1 459 руб - 1 915 руб,1 459 руб,1 915 руб
The Ellis Bangkok,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d25799427-Reviews-The_Ellis_Bangkok-Bangkok.html,Как добраться,"4,0",,2 371 руб - 3 921 руб,2 371 руб,3 921 руб
Hap@sathorn,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d13387465-Reviews-Hap_sathorn-Bangkok.html,Как добраться,"3,5","3,0",2 006 руб - 3 100 руб,2 006 руб,3 100 руб
NORN Rimkhlong Bangkok,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d26648257-Reviews-NORN_Rimkhlong_Bangkok-Bangkok.html,Как добраться,"5,0",,3 192 руб - 3 465 руб,3 192 руб,3 465 руб
Mintel Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d23374181-Reviews-Mintel_Hotel-Bangkok.html,Как добраться,"5,0","3,5",2 189 руб - 2 827 руб,2 189 руб,2 827 руб
NORN Riverside Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d27138217-Reviews-NORN_Riverside_Hotel-Bangkok.html,Как добраться,"5,0",,3 556 руб - 4 560 руб,3 556 руб,4 560 руб
Amp Am House Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d15009081-Reviews-Amp_Am_House_Hotel-Bangkok.html,Как добраться,"4,0","3,0",5 654 руб - 7 022 руб,5 654 руб,7 022 руб
Marsi Hotel at Bangchak,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d21224797-Reviews-Marsi_Hotel_at_Bangchak-Bangkok.html,Как добраться,"4,0",,2 645 руб - 3 283 руб,2 645 руб,3 283 руб
Prom Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d27146589-Reviews-Prom_Hotel-Bangkok.html,Как добраться,"5,0",,2 918 руб - 3 009 руб,2 918 руб,3 009 руб
Arawana Express Chinatown,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d21810876-Reviews-Arawana_Express_Chinatown-Bangkok.html,Как добраться,"4,0","3,0",2 097 руб - 2 645 руб,2 097 руб,2 645 руб
Ashley Hotel Bkk,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d21179560-Reviews-Ashley_Hotel_Bkk-Bangkok.html,Как добраться,"5,0","4,0",3 556 руб - 5 471 руб,3 556 руб,5 471 руб
Aowmana Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d25948426-Reviews-Aowmana_Hotel-Bangkok.html,Как добраться,"5,0",,2 371 руб - 4 468 руб,2 371 руб,4 468 руб
