Unnamed: 0,country,city,"insurance, руб.","ticket_price, руб.",luggage_cost,flight_time_minutes,rest_rating,rest_price,hotel_rating,hotel_price,stars_grade,transport_grade,cards_grade,lang_grade,rest_rating_grade,rest_price_grade,hotel_rating_grade,hotel_price_grade,lat,lon
36,Франция,Париж,37265,39184.6,13041.333333333336,1632.0,4.566498316498317,2884.3606356968216,4.14,23493.37,3.3,5,1,2,4,3,3,1,48.85,2.35
37,Франция,Марсель,37130,53154.7,10157.0,2297.0,4.306587837837838,2265.3177570093458,3.88,13531.5,2.97,5,1,2,3,4,1,1,43.297, 5.38107
38,Черногория ,Будва,3001,40681.1,7894.1,2116.5,4.0703125,2131.9855769230767,4.3,12064.11,3.7,4,1,2,1,4,4,1,42.29115, 18.8403
39,Черногория ,Улцинь,1650,38313.6,6404.222222222223,1273.9,4.240384615384615,2157.9473684210525,4.24,6397.18,3.61,4,1,1,2,4,4,1,41.9283, 19.2064
40,Чехия ,Прага,6717,41636.2,8765.0,1599.5,4.40536013400335,2333.938805970149,4.23,12724.5,3.71,5,1,2,4,4,3,1,50.09,14.42
41,Чехия ,Карловы Вары,6293,42560.0,6919.222222222223,1746.5,4.1454545454545455,6129.791666666667,4.31,8636.0,4.0,5,1,1,2,2,4,1,50.2327, 12.8712
42,Швеция,Стокгольм,28909,33770.0,7875.9,2178.0,4.176222596964587,3817.762745098039,3.99,12424.28,3.73,5,1,2,2,3,1,1,59.33,18.06
43,Швеция,Кируна,27102,57499.5,8107.166666666668,2863.0,3.636363636363636,1297.75,4.32,29201.0,3.0,3,1,1,1,5,4,1,67.85, 20.217
44,Шри-Ланка,Канди,1086,43757.4,4562.857142857143,2236.2,3.9397590361445785,2815.28125,4.36,,3.0,3,3,1,1,3,4,1,7.2955, 80.6356
45,Шри-Ланка,Велигаме,1168,44227.4,4562.857142857143,2233.5,4.346666666666667,1971.793269230769,4.47,14066.67,3.17,2,3,1,3,5,4,1,5.9667, 80.4167
46,Южная Корея ,Сеул,6293,54102.7,8615.333333333334,2009.0,4.327702702702703,211069.47569444444,4.11,12740.58,2.93,5,4,2,3,1,2,1,37.57,126.98
47,Южная Корея ,Пусан,7896,53365.8,7254.5,2365.5,4.29424778761062,33851.8203125,4.13,5444.81,2.76,5,4,2,3,2,2,1,35.1028, 129.04
48,Япония,Токио,39076,91712.2,9410.777777777776,2238.5,4.335581787521079,8004.076388888889,4.03,23642.1,2.93,5,1,2,3,2,2,1,35.69,139.69
49,Япония,Нара,38937,113480.4,7950.25,2316.0,4.116104868913857,4705.446428571428,4.13,15673.75,2.85,4,1,1,1,2,2,1,34.6851, 135.805
