hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Холидей Инн Экспресс Отель & Сьютс Голливуд Отель Уок Оф Фейм,Лос-Анджелес,https://www.tripadvisor.ru/Hotel_Review-g32655-d1049387-Reviews-Holiday_Inn_Express_Suites_Hollywood_Walk_of_Fame_an_IHG_Hotel-Los_Angeles_California.html,25 493 руб,"4,5","3,0",23 071 руб - 29 819 руб,23 071 руб,29 819 руб
Хилтон Лос-Анджелес / Юниверсал Сити,Лос-Анджелес,https://www.tripadvisor.ru/Hotel_Review-g32655-d78694-Reviews-Hilton_Los_Angeles_Universal_City-Los_Angeles_California.html,Как добраться,"4,0","4,0",23 527 руб - 34 197 руб,23 527 руб,34 197 руб
Moxy Downtown Los Angeles,Лос-Анджелес,https://www.tripadvisor.ru/Hotel_Review-g32655-d25259222-Reviews-Moxy_Downtown_Los_Angeles-Los_Angeles_California.html,20 274 руб,"4,5","4,0",18 694 руб - 26 445 руб,18 694 руб,26 445 руб
Шератон Юниверсал Отель,Лос-Анджелес,https://www.tripadvisor.ru/Hotel_Review-g32655-d84422-Reviews-Sheraton_Universal_Hotel-Los_Angeles_California.html,36 517 руб,"4,5","4,0",23 254 руб - 34 561 руб,23 254 руб,34 561 руб
Милленниум Билтмор Отель Лос-Анджелес,Лос-Анджелес,https://www.tripadvisor.ru/Hotel_Review-g32655-d77866-Reviews-The_Biltmore_Los_Angeles-Los_Angeles_California.html,Как добраться,"4,0","4,0",20 062 руб - 26 901 руб,20 062 руб,26 901 руб
Голливуд Рузвельт Отель - Томпсон Отель,Лос-Анджелес,https://www.tripadvisor.ru/Hotel_Review-g32655-d77274-Reviews-The_Hollywood_Roosevelt-Los_Angeles_California.html,Как добраться,"4,5","4,0",24 166 руб - 31 734 руб,24 166 руб,31 734 руб
Тропикал Гарден Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1210687-d308958-Reviews-Chanalai_Garden_Resort-Kata_Beach_Karon_Phuket.html,15 625 руб,"4,5","4,0",4 560 руб - 16 050 руб,4 560 руб,16 050 руб
Мерлин Бич Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d315568-Reviews-Phuket_Marriott_Resort_Spa_Merlin_Beach-Patong_Kathu_Phuket.html,Как добраться,"4,5","5,0",15 138 руб - 43 680 руб,15 138 руб,43 680 руб
Hotel Clover Patong Phuket,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d13140255-Reviews-Hotel_Clover_Patong_Phuket-Patong_Kathu_Phuket.html,11 324 руб,"5,0","4,0",7 113 руб - 12 676 руб,7 113 руб,12 676 руб
Марриотт Пхукет Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1223683-d519702-Reviews-Jw_Marriott_Phuket_Resort_Spa-Mai_Khao_Thalang_District_Phuket.html,30 532 руб,"4,5","5,0",13 131 руб - 37 024 руб,13 131 руб,37 024 руб
Bandara Villas Phuket,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1182846-d7380294-Reviews-Bandara_Villas_Phuket-Cape_Panwa_Phuket.html,31 771 руб,"4,5","4,5",29 637 руб - 41 948 руб,29 637 руб,41 948 руб
The Marina Phuket Hotel,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d12725009-Reviews-The_Marina_Phuket_Hotel-Patong_Kathu_Phuket.html,11 567 руб,"5,0","4,0",4 286 руб - 13 952 руб,4 286 руб,13 952 руб
Тропикал Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1210687-d1379794-Reviews-Chanalai_Romantica_Resort_Kata_Beach_Phuket-Kata_Beach_Karon_Phuket.html,13 158 руб,"5,0","4,0",5 107 руб - 18 603 руб,5 107 руб,18 603 руб
Ависта Пхукет Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1210687-d1526109-Reviews-Novotel_Phuket_Kata_Avista_Resort_And_Spa-Kata_Beach_Karon_Phuket.html,26 661 руб,"5,0","5,0",7 022 руб - 19 515 руб,7 022 руб,19 515 руб
Таворн Бич Виладж & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1379324-d305747-Reviews-Thavorn_Beach_Village_Resort_Spa-Kamala_Kathu_Phuket.html,23 381 руб,"4,5","4,5",8 846 руб - 19 059 руб,8 846 руб,19 059 руб
Серен Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1210687-d501009-Reviews-Chanalai_Flora_Resort_Kata_Beach_Phuket-Kata_Beach_Karon_Phuket.html,16 447 руб,"5,0","3,0",4 833 руб - 14 773 руб,4 833 руб,14 773 руб
Мандарава Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g10804710-d3399014-Reviews-Mandarava_Resort_and_Spa-Karon_Beach_Karon_Phuket.html,20 899 руб,"4,5","4,0",7 934 руб - 21 795 руб,7 934 руб,21 795 руб
Новотель Пхукет Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d299572-Reviews-Novotel_Phuket_Resort-Patong_Kathu_Phuket.html,14 551 руб,"4,5","4,0",6 657 руб - 13 679 руб,6 657 руб,13 679 руб
Ависта Хайдевей Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d3183240-Reviews-Avista_Hideaway_Phuket_Patong_MGallery_Hotel_Collection-Patong_Kathu_Phuket.html,20 682 руб,"4,5","5,0",10 761 руб - 24 348 руб,10 761 руб,24 348 руб
Калима Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d2542406-Reviews-Kalima_Resort_Spa_Phuket-Patong_Kathu_Phuket.html,16 166 руб,"5,0","5,0",8 298 руб - 18 785 руб,8 298 руб,18 785 руб
Grand Mercure Phuket Patong,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d6390760-Reviews-Grand_Mercure_Phuket_Patong-Patong_Kathu_Phuket.html,13 878 руб,"4,5","5,0",9 666 руб - 14 043 руб,9 666 руб,14 043 руб
Амари Корал Бич Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d305178-Reviews-Amari_Phuket-Patong_Kathu_Phuket.html,21 964 руб,"4,5","4,0",11 125 руб - 23 801 руб,11 125 руб,23 801 руб
Новотель Пхукет Винтаж Парк,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d2590339-Reviews-Novotel_Phuket_Vintage_Park-Patong_Kathu_Phuket.html,12 355 руб,"4,5","4,0",6 839 руб - 12 311 руб,6 839 руб,12 311 руб
Виладж Коконат Айленд,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1215781-d1186184-Reviews-Barcelo_Coconut_Island-Phuket_Town_Phuket.html,Как добраться,"4,5","5,0",8 846 руб - 12 584 руб,8 846 руб,12 584 руб
Кататани Пхукет Бич Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g7847985-d540134-Reviews-Katathani_Phuket_Beach_Resort-Kata_Noi_Beach_Karon_Phuket.html,28 076 руб,"4,5","5,0",13 131 руб - 30 093 руб,13 131 руб,30 093 руб
Баан Лаимаи Бич Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d557954-Reviews-Baan_Laimai_Beach_Resort_Spa-Patong_Kathu_Phuket.html,12 883 руб,"4,5","4,0",9 119 руб - 17 965 руб,9 119 руб,17 965 руб
Lub d Phuket Patong,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d10162340-Reviews-Lub_d_Phuket_Patong-Patong_Kathu_Phuket.html,Как добраться,"4,5","3,0",2 918 руб - 7 295 руб,2 918 руб,7 295 руб
Пальмира Патонг Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d1817285-Reviews-Palmyra_Patong_Resort-Patong_Kathu_Phuket.html,8 128 руб,"4,0","3,0",4 104 руб - 9 210 руб,4 104 руб,9 210 руб
Пхукет Грейсленд Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d576169-Reviews-Phuket_Graceland_Resort_Spa-Patong_Kathu_Phuket.html,29 909 руб,"4,0","4,0",6 292 руб - 11 490 руб,6 292 руб,11 490 руб
Crest Resort & Pool Villas,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d9865117-Reviews-Crest_Resort_Pool_Villas-Patong_Kathu_Phuket.html,11 727 руб,"4,5","5,0",5 745 руб - 14 864 руб,5 745 руб,14 864 руб
Хилтон Пхукет Аркадия Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1215780-d305270-Reviews-Pullman_Phuket_Karon_Beach_Resort-Karon_Phuket.html,15 794 руб,"4,0","5,0",8 663 руб - 17 691 руб,8 663 руб,17 691 руб
Павилионс Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1224250-d578956-Reviews-The_Pavilions_Phuket-Choeng_Thale_Thalang_District_Phuket.html,16 478 руб,"4,5","5,0",10 031 руб - 22 889 руб,10 031 руб,22 889 руб
Таворн Пальм Бич Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1215780-d305735-Reviews-Thavorn_Palm_Beach_Resort-Karon_Phuket.html,Как добраться,"4,5","4,0",8 937 руб - 22 159 руб,8 937 руб,22 159 руб
The Yama Hotel Phuket,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1210687-d6802617-Reviews-The_Yama_Hotel_Phuket-Kata_Beach_Karon_Phuket.html,6 712 руб,"4,5","4,0",3 192 руб - 8 025 руб,3 192 руб,8 025 руб
Splash Beach Resort,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g293920-d1778565-Reviews-Splash_Beach_Resort-Phuket.html,5 978 руб,"4,0","5,0",5 107 руб - 9 940 руб,5 107 руб,9 940 руб
Патонг Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d678781-Reviews-Patong_Resort-Patong_Kathu_Phuket.html,5 999 руб,"4,0","3,0",3 830 руб - 7 204 руб,3 830 руб,7 204 руб
"Chanalai Hillside Resort, Karon Beach, Phuket",Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1215780-d5985109-Reviews-Chanalai_Hillside_Resort_Karon_Beach_Phuket-Karon_Phuket.html,11 842 руб,"4,5","4,0",3 283 руб - 9 484 руб,3 283 руб,9 484 руб
InterContinental Phuket Resort,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1379324-d16711842-Reviews-InterContinental_Phuket_Resort-Kamala_Kathu_Phuket.html,49 215 руб,"5,0","5,0",25 898 руб - 47 237 руб,25 898 руб,47 237 руб
Avista Grande Phuket Karon - MGallery Hotel Collection,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g10804710-d12629455-Reviews-Avista_Grande_Phuket_Karon_MGallery_Hotel_Collection-Karon_Beach_Karon_Phuket.html,36 911 руб,"5,0","5,0",11 764 руб - 33 011 руб,11 764 руб,33 011 руб
Шор Ат Кататани,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g7847985-d1739625-Reviews-The_Shore_at_Katathani-Kata_Noi_Beach_Karon_Phuket.html,46 259 руб,"4,5","5,0",40 489 руб - 59 821 руб,40 489 руб,59 821 руб
Роял Пхукет Яхт Клуб,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1231757-d302529-Reviews-The_Nai_Harn-Nai_Harn_Rawai_Phuket.html,Как добраться,"4,5","5,0",15 776 руб - 39 212 руб,15 776 руб,39 212 руб
Keemala,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1379324-d7856400-Reviews-Keemala-Kamala_Kathu_Phuket.html,71 815 руб,"4,5","5,0",40 489 руб - 79 792 руб,40 489 руб,79 792 руб
Бантаи Бич Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d448627-Reviews-DoubleTree_by_Hilton_Phuket_Banthai_Resort-Patong_Kathu_Phuket.html,16 068 руб,,"4,0",10 852 руб - 17 326 руб,10 852 руб,17 326 руб
Индиго Перл,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1215773-d315573-Reviews-The_Slate_Phuket-Nai_Yang_Sakhu_Thalang_District_Phuket.html,46 673 руб,"4,5","5,0",15 502 руб - 37 571 руб,15 502 руб,37 571 руб
Мовенпик Резорт & Спа Карон Бич Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g10804710-d309081-Reviews-Paradox_Resort_Phuket-Karon_Beach_Karon_Phuket.html,22 732 руб,"4,5","5,0",10 669 руб - 23 436 руб,10 669 руб,23 436 руб
Island Escape By Burasari,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1215781-d19858880-Reviews-Island_Escape_By_Burasari-Phuket_Town_Phuket.html,11 274 руб,,"4,0",7 113 руб - 14 682 руб,7 113 руб,14 682 руб
Амата Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d1138025-Reviews-Amata_Patong-Patong_Kathu_Phuket.html,8 481 руб,"4,0","3,0",3 830 руб - 10 669 руб,3 830 руб,10 669 руб
Буразари Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d315550-Reviews-Burasari_Phuket-Patong_Kathu_Phuket.html,10 834 руб,"4,5","3,0",6 383 руб - 13 770 руб,6 383 руб,13 770 руб
Бид Лофтс Бутик Отель & Апартаменты С Обслуживанием,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d642305-Reviews-BYD_Lofts_Boutique_Hotel_Serviced_Apartments-Patong_Kathu_Phuket.html,18 653 руб,"5,0","4,0",9 210 руб - 20 700 руб,9 210 руб,20 700 руб
Бест Вестерн Премьер Бангтао Бич Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1224250-d299499-Reviews-Best_Western_Premier_Bangtao_Beach_Resort_Spa-Choeng_Thale_Thalang_District_Phuket.html,12 221 руб,"4,5","4,0",5 563 руб - 13 405 руб,5 563 руб,13 405 руб
Дивана Патонг Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d505067-Reviews-Deevana_Patong_Resort_Spa-Patong_Kathu_Phuket.html,11 508 руб,"4,5","3,0",4 560 руб - 11 490 руб,4 560 руб,11 490 руб
Сентара Гран Бич Резорт Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1215780-d1793896-Reviews-Centara_Grand_Beach_Resort_Phuket-Karon_Phuket.html,31 158 руб,"4,5","5,0",14 408 руб - 32 099 руб,14 408 руб,32 099 руб
Рэдиссон Блу Плаза Резорт Пхукет Панва Бич,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1182846-d1461817-Reviews-Pullman_Phuket_Panwa_Beach_Resort-Cape_Panwa_Phuket.html,19 888 руб,"4,5","5,0",12 676 руб - 21 886 руб,12 676 руб,21 886 руб
Пулман Пхукет Аркадия Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g2315813-d3217202-Reviews-Pullman_Phuket_Arcadia_Naithon_Beach-Sakhu_Thalang_District_Phuket.html,34 532 руб,"4,5","5,0",13 405 руб - 30 093 руб,13 405 руб,30 093 руб
Bandara Phuket Beach Resort,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1182846-d8497908-Reviews-Bandara_Phuket_Beach_Resort-Cape_Panwa_Phuket.html,6 673 руб,"4,5","4,0",4 651 руб - 9 301 руб,4 651 руб,9 301 руб
Баньян Три Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g15274191-d302772-Reviews-Banyan_Tree_Phuket-Cherngtalay_Choeng_Thale_Thalang_District_Phuket.html,39 721 руб,"4,5","5,0",28 087 руб - 58 818 руб,28 087 руб,58 818 руб
Сурин Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1224250-d315551-Reviews-The_Surin_Phuket-Choeng_Thale_Thalang_District_Phuket.html,58 682 руб,"4,5","5,0",20 336 руб - 73 226 руб,20 336 руб,73 226 руб
Ангсана Лагуна Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1224250-d304521-Reviews-Angsana_Laguna_Phuket-Choeng_Thale_Thalang_District_Phuket.html,65 858 руб,"4,5","5,0",10 487 руб - 27 175 руб,10 487 руб,27 175 руб
"Нака Айленд, Лакшери Коллекшн Резорт & Спа Пхукет",Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1182823-d2337076-Reviews-The_Naka_Island_a_Luxury_Collection_Resort_Spa_Phuket-Ko_Nakha_Yai_Phuket.html,44 658 руб,"4,5","5,0",25 169 руб - 51 614 руб,25 169 руб,51 614 руб
Холидей Инн Резорт Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d315556-Reviews-Holiday_Inn_Resort_Phuket-Patong_Kathu_Phuket.html,15 405 руб,"4,5","4,0",10 761 руб - 15 594 руб,10 761 руб,15 594 руб
Бейонд Резорт Ката,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1210687-d1088298-Reviews-Beyond_Kata-Kata_Beach_Karon_Phuket.html,30 126 руб,"4,0","4,0",8 298 руб - 21 247 руб,8 298 руб,21 247 руб
Hotel Indigo Phuket Patong,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d14076704-Reviews-Hotel_Indigo_Phuket_Patong-Patong_Kathu_Phuket.html,10 677 руб,"5,0","5,0",12 949 руб - 18 147 руб,12 949 руб,18 147 руб
Пойнт Яму Резорт Комо,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g2315811-d5511185-Reviews-COMO_Point_Yamu-Pa_Khlok_Thalang_District_Phuket.html,26 055 руб,,"5,0",16 870 руб - 34 105 руб,16 870 руб,34 105 руб
The Charm Resort Phuket,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d6002619-Reviews-The_Charm_Resort_Phuket-Patong_Kathu_Phuket.html,10 085 руб,"4,0","4,0",5 563 руб - 11 672 руб,5 563 руб,11 672 руб
Wyndham Grand Nai Harn Beach Phuket,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1231757-d19055858-Reviews-Wyndham_Grand_Nai_Harn_Beach_Phuket-Nai_Harn_Rawai_Phuket.html,17 954 руб,"4,5","5,0",6 566 руб - 14 317 руб,6 566 руб,14 317 руб
Холидей Инн Экспресс Пхукет Патонг Бич Централ,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d3526481-Reviews-Holiday_Inn_Express_Phuket_Patong_Beach_Central-Patong_Kathu_Phuket.html,10 067 руб,"4,5","4,0",7 204 руб - 11 125 руб,7 204 руб,11 125 руб
Камала Бич Резорт (Санпрайм Резорт),Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1379324-d305885-Reviews-Sunprime_Kamala_Beach-Kamala_Kathu_Phuket.html,Как добраться,"4,5","4,0",7 113 руб - 15 958 руб,7 113 руб,15 958 руб
Zenseana Resort and Spa,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d16656493-Reviews-Zenseana_Resort_and_Spa-Patong_Kathu_Phuket.html,7 219 руб,"4,5","4,0",4 924 руб - 11 216 руб,4 924 руб,11 216 руб
Ки Резорт & Спа,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d639632-Reviews-The_Kee_Resort_Spa-Patong_Kathu_Phuket.html,11 505 руб,"4,0","4,0",6 110 руб - 13 496 руб,6 110 руб,13 496 руб
Нипа Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d1008055-Reviews-Nipa_Resort-Patong_Kathu_Phuket.html,8 373 руб,"4,0","3,0",3 283 руб - 12 584 руб,3 283 руб,12 584 руб
Сенсес Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297930-d3586803-Reviews-The_Senses_Resort_Pool_Villas_PHUKET-Patong_Kathu_Phuket.html,10 369 руб,"4,5","4,0",6 657 руб - 13 952 руб,6 657 руб,13 952 руб
Твинпальмс Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297937-d1066939-Reviews-Twinpalms_Phuket-Thalang_District_Phuket.html,36 025 руб,"4,5","5,0",16 597 руб - 39 486 руб,16 597 руб,39 486 руб
Серенити Резорт & Резиденсес Пхукет,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g297934-d1230409-Reviews-Selina_Serenity_Rawai_Phuket-Rawai_Phuket.html,10 750 руб,"4,5",,6 019 руб - 12 311 руб,6 019 руб,12 311 руб
Лё Меридиан Пхукет Бич Резорт,Пхукет,https://www.tripadvisor.ru/Hotel_Review-g1215780-d302525-Reviews-Le_Meridien_Phuket_Beach_Resort-Karon_Phuket.html,36 911 руб,"4,5","5,0",15 411 руб - 39 942 руб,15 411 руб,39 942 руб
